ID,Road,Name,District,RoadClass,Planned,Latitude,Longitude,StartTime,EndTime,MaxImpact,CurrImpact,Type,SubType,DirectionsAffected,WorkEventType,Signing
Tor-RD042026-586-3,Don Mills Rd,Don Mills Rd 91 m South of West Don River Trl to 104 m North of West Don River Trl,EAST YORK,Major Arterial Road,1,43.707770,-79.333730,1779188400000,1781640000000,High,High,CONSTRUCTION,,ONE_DIRECTION,Utility,
Tor-RD062025-977,Peter St,Peter St at King St W to 3 m South of Queen St W,TORONTO,Local Road,1,43.646040,-79.392300,1774263600000,1780182000000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"Road Resurfacing, Critical Interim Road Repairs",
Tor-RD052026-197-1,Danforth Ave,Danforth Ave 2 m East of Main St to 24 m East of Main St,TORONTO,Major Arterial Road,1,43.688150,-79.301800,1771329600000,1780700400000,High,High,CONSTRUCTION,,ONE_DIRECTION,Toronto Water,
Tor-RD1H2026-921-7,Kilbarry Rd,Kilbarry Rd 51 m West of Avenue Rd to 20 m East of Forest Hill Rd,TORONTO,Local Road,1,43.694900,-79.405250,1779102000000,1784318400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD52026-2099,Sixth St,Sixth St 8 m North of Lake Shore Dr to 8 m South of Lake Shore Blvd W,ETOBICOKE,Local Road,1,43.595400,-79.501830,1779274800000,1782860400000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD052025-1044-1,Queen St W,Queen St W 10 m East of Sorauren Ave to 14 m East of Sorauren Ave,TORONTO,Major Arterial Road,1,43.639760,-79.440810,1776078000000,1783717200000,High,High,CONSTRUCTION,,ONE_DIRECTION,Transportation Services,
Tor-RD52026-2316-4,Wallis Cres,Wallis Cres 64 m South of Haimer Ave to 137 m Southwest of Haimer Ave,ETOBICOKE,Local Road,1,43.754250,-79.591520,1779879600000,1782860400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD52026-2316-5,Willie Crt,Willie Crt 9 m East of Kay Dr to 54 m East of Kay Dr,ETOBICOKE,Local Road,1,43.757190,-79.590260,1779879600000,1782860400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD52026-2316-3,Teresa Crt,Teresa Crt 2 m East of Kay Dr to 4 m West of end of road,ETOBICOKE,Local Road,1,43.757230,-79.592300,1779879600000,1782860400000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD1H2026-933-3,Coules Crt,Coules Crt 44 m North of Ecker Dr to 17 m North of Ecker Dr,ETOBICOKE,Local Road,1,43.607740,-79.549950,1779966000000,1788210000000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
